Ciclo,X_max_Atual,Duration_max,Corrente_A_mean,Corrente_A_std,Corrente_A_max,Corrente_A_min,Corrente_A_median,Volt_A_mean,Volt_A_std,Volt_A_max,Volt_A_min,Fbk_Vel_mean,Fbk_Vel_std,Fbk_Vel_max,Fbk_Vel_min,Ciclo_Relativo,Distancia_Ref
21,189.0,0.299,-1.8809,0.3664587425846124,-0.95,-2.23,-2.03,12.309366666666666,0.15725928598105077,12.82,12.0,0.0,0.0,-0.0,-0.0,-1556.0,0.0
22,189.0,0.299,-1.7231333333333334,0.5079661059856982,-0.38,-2.26,-1.92,12.40845,0.2752290243774612,13.3,12.01,-0.025066666666666664,0.24908110704219316,0.0,-3.35,-1555.0,0.0
23,189.0,0.299,-1.6353833333333334,0.46239723730143134,-0.61,-2.15,-1.79,12.438316666666667,0.23402195805160306,13.21,12.08,-0.22411666666666666,0.9259886489687227,0.0,-4.77,-1554.0,0.0
24,189.0,0.299,-0.45231666666666664,0.7348208869845793,0.05,-2.29,-0.01,12.7924,0.24674760512392024,13.36,12.03,-0.011616666666666664,1.4419800265782596,4.77,-4.77,-1553.0,0.0
25,189.0,0.299,-1.7079666666666666,0.49005658651377343,-0.61,-2.22,-1.87,12.41835,0.2612122327742628,13.22,12.05,-0.09406666666666666,0.597125106553909,0.0,-4.76,-1552.0,0.0
26,189.0,0.299,-1.7218833333333334,0.5025596781534822,-0.57,-2.25,-1.9,12.413616666666666,0.26967875476854203,13.29,12.02,-0.037616666666666666,0.3295985614983656,0.0,-3.89,-1551.0,0.0
27,189.0,0.299,-1.6895833333333334,0.4717459416302707,-0.6,-2.2,-1.8450000000000002,12.4109,0.24954152952617306,13.28,12.04,-0.12866666666666668,0.7164444919687378,0.0,-4.77,-1550.0,0.0
28,190.0,0.299,-0.24444999999999997,0.47407905362059927,0.05,-1.67,-0.01,12.85695,0.15687855909537096,13.42,12.24,-0.29578333333333334,0.9913696296672594,0.21,-4.77,-1549.0,-1.0
29,189.0,0.299,-1.6818,0.4794206576117748,-0.59,-2.21,-1.84,12.4316,0.25179510444878084,13.21,12.06,-0.17553333333333332,0.8394604648277987,0.0,-4.77,-1548.0,0.0
30,190.0,0.299,-0.25223333333333336,0.47820233654805805,0.04,-1.69,-0.01,12.8541,0.1672178010509464,13.39,12.19,-0.24933333333333332,1.0675546873922561,2.86,-4.77,-1547.0,-1.0
31,190.0,0.299,-0.1475,0.4336725375014789,0.05,-1.67,-0.0,12.8358,0.1577746750278174,12.91,10.44,-0.28873333333333334,0.9710753701505759,-0.0,-4.77,-1546.0,-1.0
32,190.0,0.299,-0.23928333333333332,0.47208766593656937,0.05,-1.68,-0.01,12.850266666666666,0.17135206868109595,13.38,11.17,-0.25365,1.0042639531747002,1.96,-4.77,-1545.0,-1.0
33,189.0,0.299,-0.3146833333333333,0.580086545602928,0.04,-2.28,-0.01,12.830816666666665,0.20966425117137777,13.37,11.14,-0.013950000000000002,1.4441364597423825,4.77,-4.77,-1544.0,0.0
34,190.0,0.299,-0.09821666666666666,0.3812206732656263,0.05,-1.69,0.0,12.849900000000002,0.12485981454741206,12.91,11.59,0.04058333333333333,1.4035593293625397,4.77,-4.77,-1543.0,-1.0
35,190.0,0.299,-0.09075000000000001,0.366667441315517,0.05,-1.66,0.0,12.850150000000001,0.11929037886945403,12.91,12.22,-0.22463333333333332,0.9269586215318762,0.0,-4.77,-1542.0,-1.0
36,190.0,0.299,-0.09371666666666666,0.3710914548130703,0.05,-1.69,0.0,12.850216666666666,0.11991560633751852,12.91,12.05,-0.2240333333333333,0.9395383366485244,1.15,-4.77,-1541.0,-1.0
37,190.0,0.299,-0.24858333333333335,0.4744410573686516,0.04,-1.67,-0.01,12.853366666666668,0.1838550244229525,13.41,10.58,-0.30741666666666667,1.0081816354567974,0.21,-4.77,-1540.0,-1.0
38,190.0,0.299,-0.25611666666666666,0.4787453201074279,0.04,-1.68,-0.01,12.855866666666667,0.16514044881639695,13.42,12.05,-0.3308333333333333,1.0475411892271511,0.21,-4.77,-1539.0,-1.0
39,190.0,0.299,-0.23916666666666667,0.4721845359060412,0.04,-1.69,-0.01,12.852733333333333,0.16279752438371092,13.37,12.11,-0.2769,0.9753557922808949,0.21,-4.77,-1538.0,-1.0
40,190.0,0.299,-0.24300000000000002,0.4690305420926156,0.05,-1.67,-0.01,12.855083333333333,0.16564235178055814,13.4,11.57,-0.29483333333333334,0.9900000702630058,0.21,-4.77,-1537.0,-1.0
41,189.0,0.299,-1.6952666666666667,0.4666349492361614,-0.55,-2.18,-1.86,12.4162,0.23825091639964793,13.12,12.05,-0.08371666666666666,0.5559149414185377,-0.0,-4.71,-1536.0,0.0
42,189.0,0.299,-1.6920000000000002,0.48002330216115113,-0.61,-2.23,-1.855,12.421016666666667,0.26571062571260257,13.2,12.06,-0.14706666666666665,0.7694455620838768,0.0,-4.77,-1535.0,0.0
43,190.0,0.299,-0.24535,0.47205536887686783,0.05,-1.68,-0.01,12.854149999999999,0.1681529160376136,13.37,11.65,-0.30135,0.9989269756449262,0.21,-4.77,-1534.0,-1.0
44,190.0,0.299,-0.24338333333333334,0.475372153366057,0.05,-1.68,-0.01,12.853516666666668,0.16214175784876061,13.41,12.15,-0.28768333333333335,0.9735122031790117,0.21,-4.77,-1533.0,-1.0
45,190.0,0.299,-0.13711666666666666,0.42219774745034166,0.05,-1.66,0.0,12.841500000000002,0.12473845760099411,12.91,12.13,-0.28515,0.9712510103169707,0.0,-4.77,-1532.0,-1.0
46,190.0,0.299,-0.24621666666666664,0.47418168125056415,0.05,-1.68,-0.01,12.852966666666667,0.18428365725906598,13.43,10.46,-0.29488333333333333,0.9901943215245795,0.21,-4.77,-1531.0,-1.0
47,190.0,0.299,-0.24645,0.4728783360455081,0.05,-1.66,-0.01,12.856150000000001,0.16852996196561978,13.38,11.24,-0.30679999999999996,1.0070194836251518,0.21,-4.77,-1530.0,-1.0
48,190.0,0.299,-0.2528166666666667,0.47749300064503264,0.04,-1.68,-0.01,12.862933333333334,0.14493356565329207,13.39,12.3,-0.32635000000000003,1.0397968423152737,0.21,-4.77,-1529.0,-1.0
49,190.0,0.299,-0.24464999999999998,0.4727801595867063,0.04,-1.67,-0.01,12.854116666666668,0.16362510508449435,13.39,11.86,-0.2929333333333333,0.9877546055694171,0.21,-4.77,-1528.0,-1.0
50,190.0,0.299,-0.25079999999999997,0.47644659960005037,0.05,-1.68,-0.01,12.85965,0.16588522340936848,13.4,12.23,-0.31798333333333334,1.0057670598536728,0.21,-4.77,-1527.0,-1.0
51,190.0,0.299,-0.23693333333333333,0.46760955227395856,0.05,-1.68,-0.01,12.850266666666666,0.1827473388917313,13.43,10.6,-0.278,0.9756314679574357,0.21,-4.77,-1526.0,-1.0
52,189.0,0.299,-0.4651333333333333,0.7405752730911825,0.04,-2.26,-0.01,12.794616666666668,0.24987312918767296,13.35,12.04,-0.03386666666666667,1.4672538198423468,4.77,-4.77,-1525.0,0.0
53,190.0,0.299,-0.15098333333333333,0.4357135261273237,0.05,-1.67,-0.01,12.835616666666667,0.13286223571185704,12.91,12.15,-0.2892,0.9709706483720297,0.0,-4.77,-1524.0,-1.0
54,190.0,0.299,-0.14955000000000002,0.43288753373299604,0.05,-1.67,0.0,12.837750000000002,0.12563071264596654,12.91,12.36,-0.2891333333333333,0.9707981238226541,-0.0,-4.77,-1523.0,-1.0
55,190.0,0.299,-0.25521666666666665,0.47571152548719875,0.06,-1.67,-0.01,12.8475,0.1629099426545001,13.38,12.11,-0.33198333333333335,1.0300082984521803,0.21,-4.77,-1522.0,-1.0
56,190.0,0.299,-0.24938333333333332,0.47648629049596647,0.05,-1.68,-0.01,12.8588,0.1569435529035706,13.4,12.29,-0.31311666666666665,1.0173812268056897,0.21,-4.77,-1521.0,-1.0
57,189.0,0.299,-1.6971333333333334,0.4889422833863178,-0.44,-2.22,-1.8650000000000002,12.431766666666668,0.2612795256804279,13.24,12.04,-0.10676666666666668,0.6441221684085101,0.0,-4.77,-1520.0,0.0
58,190.0,0.299,-0.15296666666666667,0.4367410790989436,0.05,-1.66,-0.01,12.837533333333335,0.12662532201676283,12.91,12.22,-0.2893,0.9708206139347961,-0.0,-4.77,-1519.0,-1.0
59,190.0,0.299,-0.25079999999999997,0.47515293381976437,0.05,-1.66,-0.01,12.856533333333333,0.15810749145326697,13.38,12.3,-0.3242833333333333,1.0359205432893512,0.21,-4.77,-1518.0,-1.0
60,190.0,0.299,-0.25048333333333334,0.4778065489497337,0.06,-1.67,-0.01,12.853,0.19013570410795486,13.41,10.5,-0.15839999999999999,1.2950924861102777,4.71,-4.77,-1517.0,-1.0
61,189.0,0.299,-1.7042833333333334,0.48043193530717065,-0.61,-2.22,-1.875,12.416633333333333,0.2590692191727125,13.21,12.04,-0.07428333333333334,0.5161758895672156,-0.0,-4.64,-1516.0,0.0
62,190.0,0.299,-0.2477833333333333,0.4726152717034239,0.05,-1.67,-0.01,12.857916666666666,0.15618733579260544,13.4,12.3,-0.31439999999999996,1.0194759398762896,0.21,-4.77,-1515.0,-1.0
63,190.0,0.299,-0.10648333333333333,0.39084745867000786,0.05,-1.68,-0.0,12.847633333333333,0.12011151839147713,12.91,11.96,-0.25253333333333333,0.9571444290103408,0.0,-4.77,-1514.0,-1.0
64,190.0,0.299,-0.2522666666666667,0.4781288608400137,0.04,-1.68,-0.01,12.855133333333333,0.1710274818700599,13.38,12.26,-0.3111,1.0127295584694185,0.83,-4.77,-1513.0,-1.0
65,190.0,0.299,-0.24605,0.4750993894788106,0.05,-1.66,-0.01,12.861016666666666,0.16299512899372623,13.42,11.54,-0.30683333333333335,1.0072329269691498,0.21,-4.77,-1512.0,-1.0
66,190.0,0.299,-0.09823333333333333,0.38585405419768515,0.06,-1.67,0.0,12.851016666666666,0.11215955598560393,12.91,11.95,-0.24126666666666666,0.9466869012705756,0.0,-4.77,-1511.0,-1.0
67,189.0,0.299,-1.8462666666666667,0.3707526013051202,-0.89,-2.19,-2.02,12.366833333333334,0.15454809632932479,12.94,12.11,0.0,0.0,0.0,0.0,-1510.0,0.0
68,190.0,0.299,-0.13926666666666668,0.4257509859753553,0.05,-1.68,0.0,12.839533333333334,0.12559354463099343,12.91,12.26,-0.2861,0.9713129626708483,0.0,-4.77,-1509.0,-1.0
69,190.0,0.299,-0.14688333333333334,0.43063697014497987,0.05,-1.65,0.0,12.837366666666666,0.12735815267967548,12.91,12.23,-0.28891666666666665,0.9708872384431889,-0.0,-4.77,-1508.0,-1.0
70,190.0,0.299,-0.24746666666666664,0.47384504932890403,0.05,-1.67,-0.01,12.857383333333333,0.16783603490682342,13.38,11.57,-0.3179666666666667,1.0250102156201986,0.21,-4.77,-1507.0,-1.0
71,190.0,0.299,-0.25395,0.4778680018708305,0.05,-1.69,-0.01,12.854583333333334,0.16098660669378775,13.4,12.23,-0.3242833333333333,1.0359205432893506,0.21,-4.77,-1506.0,-1.0
72,189.0,0.299,-1.7120333333333333,0.5047876284193497,-0.56,-2.24,-1.875,12.41865,0.26641629123183214,13.32,12.04,-0.03048333333333333,0.28554771150919034,0.0,-3.61,-1505.0,0.0
73,190.0,0.299,-0.24833333333333332,0.47419228106460953,0.05,-1.67,-0.01,12.858383333333332,0.1553612400624588,13.41,12.14,-0.30506666666666665,1.0042778261728476,0.21,-4.77,-1504.0,-1.0
74,189.0,0.299,-1.6841000000000002,0.4800071542316036,-0.62,-2.21,-1.8450000000000002,12.4366,0.26174598041569014,13.23,12.05,-0.14998333333333333,0.7774105167637283,0.0,-4.77,-1503.0,0.0
75,190.0,0.299,-0.25084999999999996,0.47565483638063344,0.05,-1.67,-0.01,12.859466666666668,0.15360459903150056,13.37,12.26,-0.3131833333333333,1.0173002831837963,0.21,-4.77,-1502.0,-1.0
76,190.0,0.299,-0.24861666666666665,0.47323197330324474,0.05,-1.68,-0.01,12.851066666666668,0.16775407975469916,13.4,11.36,-0.31256666666666666,1.0161556800834373,0.21,-4.77,-1501.0,-1.0
77,190.0,0.299,-0.24819999999999998,0.4723677721722538,0.05,-1.67,-0.01,12.859683333333335,0.16042743320401828,13.37,12.26,-0.3158666666666667,1.0217348738671637,0.21,-4.77,-1500.0,-1.0
78,190.0,0.299,-0.2541,0.47426054207536184,0.04,-1.68,-0.01,12.855766666666666,0.17973012291775012,13.39,11.1,-0.32571666666666665,1.0386848720833057,0.21,-4.77,-1499.0,-1.0
79,190.0,0.299,-0.15976666666666667,0.4428948769278143,0.04,-1.69,-0.0,12.8364,0.12779381348331212,12.91,12.16,-0.2894666666666667,0.9706987907995225,-0.0,-4.77,-1498.0,-1.0
80,190.0,0.299,-0.2343333333333333,0.466654940626985,0.04,-1.67,-0.01,12.853816666666667,0.15305983114043054,13.4,12.31,-0.27680000000000005,0.9754559363735213,0.21,-4.77,-1497.0,-1.0
81,190.0,0.299,-0.2571666666666667,0.48058843893184444,0.05,-1.68,-0.01,12.858366666666667,0.1634263723746394,13.38,11.57,-0.3351333333333333,1.0555461200605338,0.21,-4.77,-1496.0,-1.0
82,189.0,0.299,-1.6944333333333332,0.48455891398683043,-0.58,-2.22,-1.8650000000000002,12.426933333333332,0.25827266632865226,13.29,12.03,-0.10508333333333333,0.6382710837484895,-0.0,-4.77,-1495.0,0.0
83,190.0,0.299,-0.23020000000000002,0.46123007487581485,0.06,-1.65,-0.01,12.850433333333333,0.17780467671199407,13.42,11.82,-0.2769666666666667,0.9755606917705164,0.21,-4.77,-1494.0,-1.0
84,190.0,0.299,-0.24915,0.4734441464061808,0.05,-1.66,-0.01,12.855533333333334,0.159931273497795,13.38,12.14,-0.3159,1.0215885972853778,0.21,-4.77,-1493.0,-1.0
85,190.0,0.299,-0.10826666666666665,0.39241684536101923,0.04,-1.68,-0.0,12.84845,0.12153620550579922,12.91,11.57,-0.2518,0.956494762340063,-0.0,-4.77,-1492.0,-1.0
86,190.0,0.299,-0.24573333333333333,0.4716434473815847,0.05,-1.65,-0.01,12.862616666666666,0.1588858949106506,13.4,11.78,-0.31451666666666667,1.0195377359604212,0.21,-4.77,-1491.0,-1.0
87,190.0,0.299,-0.2556333333333333,0.4762849404117182,0.05,-1.69,-0.01,12.846266666666667,0.1718534790239748,13.38,11.62,-0.3196666666666667,1.0288862426864973,0.21,-4.77,-1490.0,-1.0
88,189.0,0.299,-1.6842166666666667,0.4846068434412305,-0.57,-2.2,-1.85,12.432083333333333,0.2664817327924607,13.24,12.03,-0.14778333333333335,0.7713119493829915,-0.0,-4.77,-1489.0,0.0
89,190.0,0.299,-0.15456666666666666,0.4377226832916044,0.04,-1.68,-0.0,12.8402,0.12126335528740564,12.91,11.85,-0.2894,0.9707778613531979,0.0,-4.77,-1488.0,-1.0
90,190.0,0.299,-0.10239999999999999,0.38785903502658403,0.05,-1.67,-0.0,12.846066666666667,0.1251104175646203,12.91,11.91,-0.2489833333333333,0.9541146109737961,-0.0,-4.77,-1487.0,-1.0
91,190.0,0.299,-0.2589,0.4807660727365139,0.06,-1.68,-0.01,12.860816666666667,0.1713098893405327,13.42,11.35,-0.0816,1.4695661994926097,4.77,-4.77,-1486.0,-1.0
92,190.0,0.299,-0.2517666666666667,0.4772660162907742,0.05,-1.68,-0.01,12.8551,0.15136327626718735,13.39,12.29,-0.3172166666666667,1.0240326285961816,0.21,-4.77,-1485.0,-1.0
93,189.0,0.299,-1.8958666666666666,0.3693367003416444,-0.92,-2.24,-2.065,12.331683333333334,0.15181374139280615,12.82,12.03,0.0,0.0,0.0,0.0,-1484.0,0.0
94,190.0,0.299,-0.15846666666666667,0.43939818710778905,0.05,-1.68,-0.01,12.829883333333333,0.14630617057436923,12.91,12.14,-0.30135,0.9681266064123047,0.03,-4.77,-1483.0,-1.0
95,190.0,0.299,-0.1583,0.44224398571924234,0.05,-1.67,0.0,12.834216666666666,0.13836773144076556,12.91,11.23,-0.2961,0.9709646804515981,0.57,-4.77,-1482.0,-1.0
96,190.0,0.299,-0.25295,0.47361550887868664,0.05,-1.66,-0.01,12.856900000000001,0.17283859126668402,13.39,11.56,-0.3285,1.0435627062471053,0.21,-4.77,-1481.0,-1.0
97,190.0,0.299,-0.25193333333333334,0.47333780398713254,0.06,-1.67,-0.01,12.8571,0.15107933327086612,13.38,12.27,-0.3242833333333333,1.0359205432893512,0.21,-4.77,-1480.0,-1.0
98,189.0,0.299,-0.4686833333333333,0.734491590296251,0.04,-2.26,-0.01,12.802616666666667,0.2570144232239356,13.42,12.06,-0.06835,1.5162851464160925,4.77,-4.77,-1479.0,0.0
99,190.0,0.299,-0.25556666666666666,0.4758978989649858,0.05,-1.67,-0.01,12.8613,0.17397630948044138,13.37,11.81,-0.3323,1.0503078696434962,0.21,-4.77,-1478.0,-1.0
100,190.0,0.299,-0.2315,0.4663223250622029,0.06,-1.66,-0.01,12.856283333333334,0.15735295668395885,13.41,12.25,-0.27680000000000005,0.9754559363735213,0.21,-4.77,-1477.0,-1.0
101,190.0,0.299,-0.24731666666666666,0.47506221336420734,0.04,-1.68,-0.01,12.8581,0.15968684922798326,13.37,12.31,-0.30623333333333336,1.0061154304159594,0.21,-4.77,-1476.0,-1.0
102,190.0,0.299,-0.25688333333333335,0.4813372993183476,0.05,-1.69,-0.01,12.858183333333333,0.15776464282732422,13.36,11.87,-0.3264,1.0398383590836138,0.21,-4.77,-1475.0,-1.0
103,190.0,0.299,-0.25658333333333333,0.47690238644739547,0.05,-1.67,-0.01,12.857850000000001,0.16851668747217402,13.38,11.91,-0.32713333333333333,1.0412876237690434,0.21,-4.77,-1474.0,-1.0
104,190.0,0.299,-0.15585000000000002,0.43888340354036165,0.04,-1.68,-0.0,12.835266666666666,0.1420641848247002,12.91,11.12,-0.2894666666666667,0.9709524344368196,-0.0,-4.77,-1473.0,-1.0
105,189.0,0.299,-1.8950166666666666,0.3718046946186352,-0.94,-2.25,-2.07,12.33055,0.14442285403615066,12.8,12.03,0.0,0.0,0.0,0.0,-1472.0,0.0
106,190.0,0.299,-0.10426666666666667,0.3856916631030555,0.06,-1.67,0.0,12.84455,0.13174492542646757,12.91,11.64,-0.24866666666666665,0.9539582185260409,0.0,-4.77,-1471.0,-1.0
107,190.0,0.299,-0.26088333333333336,0.4842487802678225,0.05,-1.69,-0.01,12.857633333333332,0.15545957144161535,13.39,12.31,-0.34313333333333335,1.0583963594254109,0.21,-4.77,-1470.0,-1.0
108,190.0,0.299,-0.24435,0.47423842207088224,0.05,-1.68,-0.01,12.853916666666667,0.16236717100218778,13.4,12.3,-0.28728333333333333,0.9816473427686897,0.21,-4.77,-1469.0,-1.0
109,190.0,0.299,-0.2526,0.4737037386947906,0.05,-1.67,-0.01,12.851333333333333,0.17098522978187874,13.41,11.68,-0.3344166666666667,1.0541554594128446,0.21,-4.77,-1468.0,-1.0
110,189.0,0.299,-0.7024833333333333,0.8889094064885321,0.05,-2.26,-0.02,12.737400000000001,0.29998704479539523,13.36,11.9,-0.0519,1.492104783342686,4.77,-4.77,-1467.0,0.0
111,190.0,0.299,-0.24464999999999998,0.46905141105250986,0.04,-1.67,-0.01,12.8519,0.15982270017893996,13.35,12.15,-0.2895666666666667,0.983807708973633,0.21,-4.77,-1466.0,-1.0
112,190.0,0.299,-0.10593333333333334,0.3868508129430259,0.04,-1.68,0.0,12.8461,0.12971185479923902,12.9,11.64,-0.24866666666666665,0.9539582185260409,-0.0,-4.77,-1465.0,-1.0
113,190.0,0.299,-0.25334999999999996,0.4737464198110695,0.05,-1.66,-0.01,12.854783333333334,0.15825726521145786,13.38,11.56,-0.3206333333333333,1.0298191482094905,0.21,-4.77,-1464.0,-1.0
114,190.0,0.299,-0.2346666666666667,0.4657772747480012,0.05,-1.67,-0.01,12.842033333333333,0.17581823656664364,13.37,10.61,-0.27695,0.97559084319309,0.21,-4.77,-1463.0,-1.0
115,189.0,0.299,-1.6975666666666667,0.4969245101994364,-0.54,-2.23,-1.855,12.424616666666665,0.27698264451856486,13.33,12.02,-0.0727,0.509118892543357,-0.0,-4.62,-1462.0,0.0
116,190.0,0.299,-0.25776666666666664,0.4807659569872697,0.05,-1.67,-0.01,12.86505,0.15228476148639541,13.43,12.27,-0.3405,1.0651284340248741,0.21,-4.77,-1461.0,-1.0
117,190.0,0.299,-0.25125,0.47637256659433375,0.05,-1.66,-0.01,12.856850000000001,0.15019156660011382,13.34,12.34,-0.3138,1.0183783108321234,0.21,-4.77,-1460.0,-1.0
118,190.0,0.299,-0.25745,0.47504432356245957,0.05,-1.68,-0.01,12.848533333333334,0.17585331824597056,13.38,12.01,-0.3301,1.0463307332478091,0.21,-4.77,-1459.0,-1.0
119,189.0,0.299,-1.71305,0.4806015264353833,-0.59,-2.21,-1.895,12.415533333333332,0.2391241298391739,13.22,12.03,-0.031133333333333332,0.2895158278572267,0.0,-3.64,-1458.0,0.0
120,189.0,0.299,-1.6067333333333333,0.4510429341385175,-0.65,-2.11,-1.75,12.4573,0.23540547195646472,13.18,12.11,-0.25066666666666665,0.9556234872084279,-0.0,-4.77,-1457.0,0.0
121,189.0,0.299,-1.6775499999999999,0.4793287921510401,-0.61,-2.21,-1.83,12.425483333333334,0.2388958317333937,13.26,12.09,-0.16575,0.8171815875792015,0.0,-4.77,-1456.0,0.0
122,189.0,0.299,-1.6828166666666666,0.47873954537869795,-0.6,-2.2,-1.8450000000000002,12.418233333333333,0.26299268838847695,13.27,12.03,-0.13341666666666666,0.7305694440479402,0.0,-4.77,-1455.0,0.0
123,189.0,0.299,-1.7288666666666666,0.4908298130695443,-0.49,-2.24,-1.915,12.4027,0.25557694723885244,13.28,12.04,-0.00031666666666666665,0.007756717518813397,0.0,-0.19,-1454.0,0.0
124,190.0,0.299,-0.09923333333333333,0.3760688658681383,0.05,-1.68,0.0,12.847,0.14602581700525719,12.91,10.56,-0.2353,0.9403414167027904,-0.0,-4.77,-1453.0,-1.0
125,190.0,0.299,-0.15735,0.4382924952041202,0.05,-1.67,-0.0,12.835133333333333,0.13282590142377387,12.91,12.19,-0.2894666666666667,0.9707524484039994,0.0,-4.77,-1452.0,-1.0
126,190.0,0.299,-0.25885,0.47839727293458945,0.04,-1.68,-0.01,12.854783333333334,0.1823477563044609,13.35,10.51,-0.33303333333333335,1.0516642977748398,0.21,-4.77,-1451.0,-1.0
127,190.0,0.299,-0.24383333333333335,0.4704741034590511,0.05,-1.68,-0.01,12.853766666666667,0.16659251884297369,13.41,12.22,-0.29225,0.9870106826403026,0.21,-4.77,-1450.0,-1.0
128,190.0,0.299,-0.10578333333333333,0.3886628587243816,0.05,-1.67,0.0,12.844433333333333,0.13195845537692885,12.91,12.22,-0.2538,0.9582058707908389,-0.0,-4.77,-1449.0,-1.0
129,190.0,0.299,-0.1573,0.44026290900825843,0.05,-1.67,0.0,12.8335,0.1347950277241919,12.91,12.04,-0.28933333333333333,0.9707951866277056,0.05,-4.77,-1448.0,-1.0
130,189.0,0.299,-0.5354666666666668,0.8721235279298667,0.04,-2.26,-0.01,12.7229,0.2712690573996717,12.96,12.02,-0.011166666666666665,1.4333294670652255,4.77,-4.77,-1447.0,0.0
131,190.0,0.299,-0.11270000000000001,0.39834596669474387,0.05,-1.69,0.0,12.8448,0.12340857396015024,12.91,12.28,-0.25986666666666663,0.9626755541682833,0.0,-4.77,-1446.0,-1.0
